DEV_1, 140254,	 0.016,	 0.006,	 1.007
DEV_1, 140264,	 0.018,	 0.005,	 1.004
DEV_1, 140274,	 0.017,	 0.006,	 1.000
DEV_1, 140284,	 0.018,	 0.004,	 1.002
DEV_1, 140294,	 0.015,	 0.005,	 1.000
DEV_1, 140304,	 0.016,	 0.009,	 1.001
DEV_1, 140314,	 0.016,	 0.007,	 1.001
DEV_1, 140324,	 0.018,	 0.004,	 0.999
DEV_1, 140334,	 0.018,	 0.005,	 1.001
DEV_1, 140344,	 0.020,	 0.009,	 1.000
DEV_1, 140354,	 0.017,	 0.006,	 1.001
DEV_1, 140364,	 0.017,	 0.007,	 0.999
DEV_1, 140374,	 0.017,	 0.003,	 0.997
DEV_1, 140384,	 0.017,	 0.007,	 1.004
DEV_1, 140394,	 0.016,	 0.005,	 0.999
DEV_1, 140404,	 0.017,	 0.006,	 1.002
DEV_1, 140414,	 0.016,	 0.004,	 0.997
DEV_1, 140424,	 0.017,	 0.006,	 0.999
DEV_1, 140434,	 0.014,	 0.005,	 1.001
DEV_1, 140444,	 0.016,	 0.006,	 1.001
DEV_1, 140454,	 0.017,	 0.006,	 1.001
DEV_1, 140464,	 0.017,	 0.005,	 0.998
DEV_1, 140474,	 0.017,	 0.005,	 1.001
DEV_1, 140484,	 0.014,	 0.005,	 1.001
DEV_1, 140494,	 0.017,	 0.002,	 0.998
DEV_1, 140504,	 0.018,	 0.003,	 1.000
DEV_1, 140514,	 0.018,	 0.006,	 1.005
DEV_1, 140524,	 0.017,	 0.007,	 1.000
DEV_1, 140534,	 0.017,	 0.006,	 1.000
DEV_1, 140544,	 0.016,	 0.006,	 1.004
DEV_1, 140554,	 0.016,	 0.006,	 0.999
DEV_1, 140564,	 0.018,	 0.003,	 1.001
DEV_1, 140574,	 0.018,	 0.005,	 1.002
DEV_1, 140584,	 0.016,	 0.012,	 0.999
DEV_1, 140594,	 0.017,	 0.005,	 0.989
DEV_1, 140604,	 0.016,	 0.005,	 1.004
DEV_1, 140614,	 0.016,	 0.005,	 0.995
DEV_1, 140624,	 0.018,	 0.010,	 0.995
DEV_1, 140634,	 0.017,	 0.002,	 1.003
DEV_1, 140644,	 0.016,	 0.004,	 1.006
DEV_1, 140654,	 0.018,	 0.007,	 1.000
DEV_1, 140664,	 0.015,	 0.004,	 1.000
DEV_1, 140674,	 0.016,	 0.010,	 1.002
DEV_1, 140684,	 0.017,	 0.002,	 0.999
DEV_1, 140694,	 0.018,	 0.006,	 0.999
DEV_1, 140704,	 0.017,	 0.006,	 1.001
DEV_1, 140724,	 0.017,	 0.006,	 0.998
DEV_1, 140734,	 0.016,	 0.005,	 1.003
DEV_1, 140744,	 0.018,	 0.006,	 0.996
DEV_1, 140754,	 0.017,	 0.007,	 1.000
DEV_1, 140764,	 0.018,	 0.006,	 1.003
DEV_1, 140774,	 0.017,	 0.005,	 1.001
DEV_1, 140784,	 0.017,	 0.008,	 0.998
DEV_1, 140794,	 0.015,	 0.008,	 0.997
DEV_1, 140804,	 0.017,	 0.006,	 1.000
DEV_1, 140814,	 0.017,	 0.007,	 0.998
DEV_1, 140824,	 0.015,	 0.004,	 1.004
DEV_1, 140834,	 0.018,	 0.004,	 1.001
DEV_1, 140844,	 0.016,	 0.006,	 0.998
DEV_1, 140854,	 0.015,	 0.002,	 0.997
DEV_1, 140864,	 0.016,	 0.008,	 1.001
DEV_1, 140874,	 0.018,	 0.006,	 1.002
DEV_1, 140884,	 0.017,	 0.005,	 1.004
DEV_1, 140894,	 0.016,	 0.007,	 1.006
DEV_1, 140904,	 0.018,	 0.006,	 1.001
DEV_1, 140914,	 0.017,	 0.008,	 0.999
DEV_1, 140924,	 0.018,	 0.007,	 1.003
DEV_1, 140934,	 0.015,	 0.006,	 0.998
DEV_1, 140944,	 0.017,	 0.006,	 1.002
DEV_1, 140954,	 0.018,	 0.007,	 1.003
DEV_1, 140964,	 0.016,	 0.008,	 0.998
DEV_1, 140974,	 0.015,	 0.005,	 0.998
DEV_1, 140984,	 0.015,	 0.008,	 1.005
DEV_1, 140994,	 0.015,	 0.008,	 0.997
DEV_1, 141004,	 0.017,	 0.006,	 0.998
DEV_1, 141014,	 0.015,	 0.006,	 1.005
DEV_1, 141024,	 0.017,	 0.004,	 1.001
DEV_1, 141034,	 0.018,	 0.005,	 1.002
DEV_1, 141044,	 0.015,	 0.006,	 1.002
DEV_1, 141054,	 0.016,	 0.007,	 1.003
DEV_1, 141064,	 0.018,	 0.004,	 0.996
DEV_1, 141074,	 0.016,	 0.006,	 1.004
DEV_1, 141084,	 0.018,	 0.005,	 1.002
DEV_1, 141094,	 0.017,	 0.006,	 0.998
DEV_1, 141104,	 0.017,	 0.004,	 1.000
DEV_1, 141114,	 0.016,	 0.006,	 1.001
DEV_1, 141124,	 0.016,	 0.006,	 0.999
DEV_1, 141134,	 0.016,	 0.006,	 1.001
DEV_1, 141144,	 0.017,	 0.006,	 1.001
DEV_1, 141154,	 0.017,	 0.004,	 0.999
DEV_1, 141164,	 0.019,	 0.005,	 1.001
DEV_1, 141174,	 0.018,	 0.007,	 0.997
DEV_1, 141184,	 0.017,	 0.006,	 0.998
DEV_1, 141194,	 0.017,	 0.005,	 0.996
DEV_1, 141204,	 0.017,	 0.006,	 0.999
DEV_1, 141214,	 0.017,	 0.005,	 0.999
DEV_1, 141224,	 0.017,	 0.008,	 0.997
DEV_1, 141234,	 0.017,	 0.005,	 1.000
DEV_1, 141244,	 0.016,	 0.007,	 0.999
DEV_1, 141254,	 0.017,	 0.005,	 1.000
DEV_1, 141264,	 0.015,	 0.005,	 1.002
DEV_1, 141274,	 0.016,	 0.006,	 1.002
DEV_1, 141284,	 0.018,	 0.004,	 1.000
DEV_1, 141294,	 0.016,	 0.003,	 0.999
DEV_1, 141304,	 0.015,	 0.006,	 1.004
DEV_1, 141314,	 0.019,	 0.007,	 1.002
DEV_1, 141324,	 0.016,	 0.007,	 1.000
DEV_1, 141334,	 0.016,	 0.008,	 1.001
DEV_1, 141344,	 0.017,	 0.006,	 1.000
DEV_1, 141354,	 0.018,	 0.005,	 1.001
DEV_1, 141364,	 0.017,	 0.006,	 0.999
DEV_1, 141374,	 0.018,	 0.005,	 0.998
DEV_1, 141384,	 0.017,	 0.007,	 1.000
DEV_1, 141394,	 0.018,	 0.007,	 1.007
DEV_1, 141404,	 0.018,	 0.005,	 1.004
DEV_1, 141414,	 0.018,	 0.007,	 1.000
DEV_1, 141424,	 0.016,	 0.005,	 1.003
DEV_1, 141434,	 0.015,	 0.005,	 1.003
DEV_1, 141444,	 0.016,	 0.007,	 0.999
DEV_1, 141454,	 0.019,	 0.007,	 1.001
DEV_1, 141464,	 0.018,	 0.004,	 1.002
DEV_1, 141474,	 0.018,	 0.007,	 1.000
DEV_1, 141484,	 0.019,	 0.005,	 1.000
DEV_1, 141494,	 0.015,	 0.006,	 0.997
DEV_1, 141504,	 0.017,	 0.004,	 1.000
DEV_1, 141514,	 0.016,	 0.006,	 1.002
DEV_1, 141524,	 0.015,	 0.006,	 0.998
DEV_1, 141534,	 0.016,	 0.007,	 0.998
DEV_1, 141544,	 0.017,	 0.007,	 0.999
DEV_1, 141554,	 0.020,	 0.005,	 1.000
DEV_1, 141564,	 0.020,	 0.006,	 0.996
DEV_1, 141574,	 0.017,	 0.008,	 1.000
DEV_1, 141584,	 0.018,	 0.008,	 1.001
DEV_1, 141594,	 0.018,	 0.006,	 0.999
DEV_1, 141604,	 0.018,	 0.004,	 1.000
DEV_1, 141614,	 0.017,	 0.004,	 0.999
DEV_1, 141624,	 0.018,	 0.006,	 0.998
DEV_1, 141634,	 0.019,	 0.004,	 1.002
DEV_1, 141644,	 0.017,	 0.007,	 0.999
DEV_1, 141654,	 0.017,	 0.007,	 0.999
DEV_1, 141664,	 0.016,	 0.006,	 0.999
DEV_1, 141674,	 0.015,	 0.011,	 1.003
DEV_1, 141684,	 0.019,	 0.006,	 0.997
DEV_1, 141694,	 0.017,	 0.005,	 1.001
DEV_1, 141704,	 0.018,	 0.008,	 1.000
DEV_1, 141714,	 0.016,	 0.007,	 0.998
DEV_1, 141724,	 0.016,	 0.008,	 1.002
DEV_1, 141734,	 0.016,	 0.005,	 1.000
DEV_1, 141744,	 0.016,	 0.006,	 0.998
DEV_1, 141754,	 0.017,	 0.006,	 0.999
DEV_1, 141764,	 0.018,	 0.004,	 1.003
DEV_1, 141774,	 0.018,	 0.006,	 1.000
DEV_1, 141784,	 0.018,	 0.007,	 1.005
DEV_1, 141794,	 0.016,	 0.006,	 0.996
DEV_1, 141804,	 0.015,	 0.008,	 1.000
DEV_1, 141814,	 0.017,	 0.008,	 1.001
DEV_1, 141824,	 0.017,	 0.008,	 1.001
DEV_1, 141834,	 0.017,	 0.008,	 1.003
DEV_1, 141844,	 0.017,	 0.008,	 1.002
DEV_1, 141854,	 0.016,	 0.004,	 0.998
DEV_1, 141864,	 0.016,	 0.006,	 1.000
DEV_1, 141874,	 0.016,	 0.004,	 0.998
DEV_1, 141884,	 0.018,	 0.005,	 1.002
DEV_1, 141894,	 0.015,	 0.006,	 1.002
DEV_1, 141904,	 0.016,	 0.007,	 0.999
DEV_1, 141914,	 0.017,	 0.004,	 1.003
DEV_1, 141924,	 0.015,	 0.004,	 1.000
DEV_1, 141934,	 0.018,	 0.004,	 1.000
DEV_1, 141944,	 0.016,	 0.005,	 1.002
DEV_1, 141954,	 0.017,	 0.005,	 1.001
DEV_1, 141964,	 0.016,	 0.006,	 1.002
DEV_1, 141974,	 0.017,	 0.006,	 1.003
DEV_1, 141984,	 0.017,	 0.004,	 0.999
DEV_1, 141994,	 0.017,	 0.004,	 1.002
DEV_1, 142004,	 0.016,	 0.006,	 1.001
DEV_1, 142014,	 0.017,	 0.007,	 0.999
DEV_1, 142024,	 0.016,	 0.008,	 0.999
DEV_1, 142034,	 0.017,	 0.005,	 0.999
DEV_1, 142044,	 0.015,	 0.002,	 1.006
DEV_1, 142054,	 0.014,	 0.005,	 1.002
DEV_1, 142064,	 0.012,	 0.006,	 1.001
DEV_1, 142074,	 0.014,	 0.005,	 0.996
DEV_1, 142084,	 0.017,	 0.005,	 1.000
DEV_1, 142094,	 0.020,	 0.006,	 0.997
DEV_1, 142104,	 0.019,	 0.004,	 1.003
DEV_1, 142114,	 0.016,	 0.004,	 1.004
DEV_1, 142124,	 0.014,	 0.006,	 0.999
DEV_1, 142134,	 0.014,	 0.005,	 1.000
DEV_1, 142144,	 0.016,	 0.006,	 0.998
DEV_1, 142154,	 0.021,	 0.009,	 1.002
DEV_1, 142164,	 0.024,	 0.007,	 1.003
DEV_1, 142174,	 0.023,	 0.005,	 0.999
DEV_1, 142184,	 0.017,	 0.011,	 0.999
DEV_1, 142194,	 0.013,	 0.004,	 1.003
DEV_1, 142204,	 0.013,	 0.007,	 0.997
DEV_1, 142214,	 0.017,	 0.002,	 1.002
DEV_1, 142224,	 0.022,	 0.003,	 1.000
DEV_1, 142234,	 0.019,	 0.003,	 1.002
DEV_1, 142244,	 0.016,	 0.000,	 1.004
DEV_1, 142254,	 0.012,	 0.005,	 1.003
DEV_1, 142264,	 0.014,	 0.009,	 0.996
DEV_1, 142274,	 0.018,	 0.010,	 0.998
DEV_1, 142284,	 0.022,	 0.010,	 1.001
DEV_1, 142294,	 0.022,	 0.001,	 1.010
DEV_1, 142304,	 0.021,	 0.006,	 1.005
DEV_1, 142314,	 0.020,	 -0.001,	 1.009
DEV_1, 142324,	 0.012,	 0.014,	 0.993
DEV_1, 142334,	 0.011,	 0.007,	 0.994
DEV_1, 142344,	 0.018,	 0.008,	 1.001
DEV_1, 142354,	 0.021,	 0.004,	 1.002
DEV_1, 142364,	 0.021,	 0.009,	 1.008
DEV_1, 142374,	 0.019,	 0.002,	 1.003
DEV_1, 142384,	 0.012,	 0.008,	 1.006
DEV_1, 142394,	 0.013,	 0.010,	 0.994
DEV_1, 142404,	 0.015,	 0.007,	 1.002
DEV_1, 142414,	 0.020,	 0.005,	 1.002
DEV_1, 142424,	 0.019,	 0.006,	 1.003
DEV_1, 142434,	 0.017,	 0.005,	 0.999
DEV_1, 142444,	 0.014,	 0.005,	 1.003
DEV_1, 142454,	 0.012,	 0.006,	 1.003
DEV_1, 142464,	 0.013,	 0.005,	 1.004
DEV_1, 142474,	 0.016,	 0.008,	 1.000
DEV_1, 142484,	 0.022,	 0.008,	 0.997
DEV_1, 142494,	 0.019,	 0.006,	 1.001
DEV_1, 142504,	 0.018,	 0.006,	 1.000
DEV_1, 142514,	 0.013,	 0.007,	 1.001
DEV_1, 142524,	 0.013,	 0.005,	 1.001
DEV_1, 142534,	 0.016,	 0.002,	 0.999
DEV_1, 142544,	 0.019,	 0.005,	 1.000
DEV_1, 142554,	 0.022,	 0.005,	 1.001
DEV_1, 142564,	 0.019,	 0.002,	 1.004
DEV_1, 142574,	 0.017,	 0.008,	 1.000
DEV_1, 142584,	 0.015,	 0.006,	 0.998
DEV_1, 142594,	 0.015,	 0.011,	 1.003
DEV_1, 142604,	 0.018,	 0.004,	 0.999
DEV_1, 142614,	 0.019,	 0.009,	 0.999
DEV_1, 142624,	 0.019,	 0.005,	 0.997
DEV_1, 142634,	 0.016,	 0.005,	 1.008
DEV_1, 142644,	 0.015,	 0.004,	 0.998
DEV_1, 142654,	 0.015,	 0.006,	 1.004
DEV_1, 142664,	 0.014,	 0.005,	 0.997
DEV_1, 142674,	 0.017,	 0.006,	 1.000
DEV_1, 142684,	 0.019,	 0.009,	 1.005
DEV_1, 142694,	 0.017,	 0.006,	 1.001
DEV_1, 142704,	 0.016,	 0.009,	 0.995
DEV_1, 142714,	 0.013,	 0.010,	 0.996
DEV_1, 142724,	 0.016,	 0.006,	 0.996
DEV_1, 142734,	 0.017,	 0.006,	 0.997
DEV_1, 142744,	 0.019,	 0.007,	 1.004
DEV_1, 142754,	 0.016,	 0.007,	 1.002
DEV_1, 142764,	 0.017,	 0.004,	 1.002
DEV_1, 142774,	 0.018,	 0.008,	 1.003
DEV_1, 142784,	 0.015,	 0.006,	 0.997
DEV_1, 142794,	 0.017,	 0.006,	 0.997
DEV_1, 142804,	 0.019,	 0.005,	 1.000
DEV_1, 142814,	 0.020,	 0.008,	 1.001
DEV_1, 142824,	 0.018,	 0.007,	 0.998
DEV_1, 142834,	 0.015,	 0.007,	 1.002
DEV_1, 142844,	 0.014,	 0.005,	 1.000
DEV_1, 142854,	 0.015,	 0.005,	 0.996
DEV_1, 142864,	 0.016,	 0.002,	 1.000
DEV_1, 142874,	 0.017,	 0.003,	 1.001
DEV_1, 142884,	 0.017,	 0.001,	 1.004
DEV_1, 142894,	 0.017,	 0.007,	 1.004
DEV_1, 142904,	 0.019,	 0.006,	 1.001
DEV_1, 142914,	 0.017,	 0.007,	 0.999
DEV_1, 142924,	 0.019,	 0.007,	 1.004
DEV_1, 142934,	 0.019,	 0.005,	 1.002
DEV_1, 142944,	 0.021,	 0.005,	 0.999
DEV_1, 142954,	 0.018,	 0.005,	 1.000
DEV_1, 142964,	 0.016,	 0.008,	 1.000
DEV_1, 142974,	 0.015,	 0.005,	 0.998
DEV_1, 142984,	 0.017,	 0.006,	 1.000
DEV_1, 142994,	 0.017,	 0.007,	 1.002
DEV_1, 143004,	 0.018,	 0.006,	 1.001
DEV_1, 143014,	 0.018,	 0.007,	 0.998
DEV_1, 143024,	 0.017,	 0.006,	 1.003
DEV_1, 143034,	 0.014,	 0.006,	 0.998
DEV_1, 143044,	 0.017,	 0.007,	 1.000
DEV_1, 143054,	 0.015,	 0.005,	 1.000
DEV_1, 143064,	 0.017,	 0.006,	 1.004
DEV_1, 143074,	 0.015,	 0.005,	 1.003
DEV_1, 143084,	 0.016,	 0.008,	 1.004
DEV_1, 143094,	 0.017,	 0.006,	 0.999
DEV_1, 143104,	 0.016,	 0.006,	 0.999
DEV_1, 143114,	 0.017,	 0.008,	 1.001
DEV_1, 143124,	 0.017,	 0.006,	 0.998
DEV_1, 143134,	 0.015,	 0.007,	 1.002
DEV_1, 143144,	 0.016,	 0.007,	 1.002
DEV_1, 143154,	 0.018,	 0.010,	 1.003
DEV_1, 143164,	 0.016,	 0.007,	 1.001
DEV_1, 143174,	 0.017,	 0.007,	 1.002
DEV_1, 143184,	 0.015,	 0.002,	 0.999
DEV_1, 143194,	 0.017,	 0.004,	 1.000
DEV_1, 143204,	 0.017,	 0.007,	 1.001
DEV_1, 143214,	 0.019,	 0.006,	 1.003
DEV_1, 143224,	 0.017,	 0.007,	 1.000
DEV_1, 143234,	 0.015,	 0.008,	 1.000
DEV_1, 143244,	 0.016,	 0.007,	 0.997
DEV_1, 143254,	 0.016,	 0.007,	 1.004
DEV_1, 143264,	 0.016,	 0.006,	 1.001
DEV_1, 143274,	 0.016,	 0.006,	 0.999
DEV_1, 143284,	 0.016,	 0.008,	 0.999
DEV_1, 143294,	 0.016,	 0.005,	 0.999
DEV_1, 143304,	 0.016,	 0.005,	 0.999
DEV_1, 143314,	 0.016,	 0.007,	 1.001
